raw_name,resolved_name,cid,inchikey,canonical_smiles,modality,resolved,notes,mol_wt,log_p,tpsa,num_h_donors,num_h_acceptors,num_rotatable_bonds,ring_count,fraction_csp3,qed
Nicotinamide riboside,Nicotinamide Riboside,439924.0,JLEBZPBDRKPWTD-TURQNECASA-O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1,small_molecule,True,NR; NAD+ precursor,255.25,-2.315,116.89,4.0,5.0,3.0,2.0,0.455,0.4525
Acarbose,Acarbose,9811704.0,CEMXHAPUFJOOSV-XGWNLRGSSA-N,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,small_molecule,True,Alpha-glucosidase inhibitor; male mouse lifespan hit (ITP),645.608,-8.722,329.01,14.0,19.0,13.0,3.0,0.88,0.0653
Urolithin A,Urolithin A,5488186.0,RIUPLDUFZCXCHM-UHFFFAOYSA-N,O=c1oc2cc(O)ccc2c2ccc(O)cc12,small_molecule,True,Gut microbiome metabolite; mitophagy inducer,228.203,2.357,70.67,2.0,4.0,0.0,3.0,0.0,0.4574
Berberine,Berberine,2353.0,YBHILYKTIRIUTE-UHFFFAOYSA-N,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,small_molecule,True,Isoquinoline alkaloid; AMPK activator,336.367,3.096,40.8,0.0,4.0,2.0,5.0,0.25,0.6745
Curcumin,Curcumin,969516.0,VFLDPWHFBUODDF-FCXRPNKRSA-N,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,small_molecule,True,Polyphenolic curcuminoid; SASP / anti-inflammatory,368.385,3.37,93.06,2.0,6.0,8.0,2.0,0.143,0.5481
Trametinib,Trametinib,11707110.0,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,small_molecule,True,MEK1/2 inhibitor; low-dose Drosophila/murine longevity,615.403,3.94,107.13,2.0,5.0,5.0,5.0,0.231,0.3312
Canagliflozin,Canagliflozin,24812758.0,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,small_molecule,True,SGLT2 inhibitor; male mouse lifespan hit (ITP),444.524,2.968,90.15,4.0,6.0,5.0,4.0,0.333,0.4859
BPC-157,Bpc-157,9941957.0,HEEWEZGQMLZMFE-RKGINYAYSA-N,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)CN)C(=O)N[C@H](C(=O)O)C(C)C,peptide,True,Synthetic pentadecapeptide; tissue repair research peptide,1419.556,-6.21,573.48,16.0,20.0,39.0,4.0,0.71,0.0255
Epitalon,Epitalon,219042.0,HGHOBRRUMWJWCU-FXQIFTODSA-N,C[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)O,peptide,True,Synthetic tetrapeptide (Ala-Glu-Asp-Gly); telomerase modulation claims,390.349,-3.156,225.22,7.0,7.0,12.0,0.0,0.571,0.1769
FakeGeroCompoundX99,,,,,other,False,Negative control name to verify failure tracking in coverage plot,,,,,,,,,
