"compound_name","inchikey","target_id","target_symbol","hallmark","relation","grade","provenance","document_ids","notes"
"Navitoclax","LMEKQDMYQIAPOC-WHAZZDAYSA-N","CHEMBL2047","BCL2L1","stem_cell_exhaustion","rescues","E3","Bone marrow senolysis in mice","PMID:26711582","Eliminates senescent bone marrow hematopoietic stem cells in sublethally irradiated mice"
"Resveratrol","LUKBXSAWLDOAEY-OWOJBTEDSA-N","CHEMBL4203","SIRT1","nutrient_sensing","activates","E3","Murine metabolic healthspan","PMID:17086191","Shifts physiology towards that of standard diet in high-fat fed mice; note: failed standard ITP lifespan"
"Resveratrol","LUKBXSAWLDOAEY-OWOJBTEDSA-N","CHEMBL4203","SIRT1","mitochondrial_dysfunction","enhances","E3","Mitochondrial biogenesis in mice","PMID:17112576","Increases mitochondrial biogenesis and aerobic capacity via PGC-1alpha deacetylation in mice"
"Resveratrol","LUKBXSAWLDOAEY-OWOJBTEDSA-N","CHEMBL4203","SIRT1","autophagy","induces","E2","In vitro starvation model","PMID:20543254","Promotes autophagosome formation in mammalian cell lines independent of SIRT1 in certain lines"
"Nicotinamide mononucleotide","DAYLJWODMCOQEW-UHFFFAOYSA-N","CHEMBL429815","NAMPT","nutrient_sensing","enhances","E3","Mouse NAD+ restoration","PMID:27797883","Long-term administration mitigates age-associated physiological decline in wild-type mice"
"Nicotinamide mononucleotide","DAYLJWODMCOQEW-UHFFFAOYSA-N","CHEMBL429815","NAMPT","mitochondrial_dysfunction","mitigates","E3","Mitochondrial OXPHOS rescue","PMID:24360282","Reverses mitochondrial dysfunction in skeletal muscle of aged mice within 1 week"
"Nicotinamide mononucleotide","DAYLJWODMCOQEW-UHFFFAOYSA-N","CHEMBL429815","NAMPT","stem_cell_exhaustion","rescues","E3","Neural stem cell renewal","PMID:25590977","Promotes neural stem/progenitor cell proliferation in aged mouse hippocampus"
"Nicotinamide riboside","JLVVSWVCTMCOFQ-UHFFFAOYSA-N","CHEMBL1926673","NMRK1","nutrient_sensing","enhances","E3","NAD+ and mitochondrial healthspan","PMID:27127236","Replenishes NAD+ and improves muscle stem cell function and mouse healthspan"
"Nicotinamide riboside","JLVVSWVCTMCOFQ-UHFFFAOYSA-N","CHEMBL1926673","NMRK1","stem_cell_exhaustion","rescues","E3","Muscle stem cell rejuvenation","PMID:27127236","Prevents exhaustion of aged muscle stem cells (MuSCs) in mice"
"Nicotinamide riboside","JLVVSWVCTMCOFQ-UHFFFAOYSA-N","CHEMBL1926673","NMRK1","mitochondrial_dysfunction","mitigates","E2","Human biomarker trial","PMID:29599478","Increases whole-blood NAD+ metabolome and lowers blood pressure in small human pilot study"
"Acarbose","YAFICATVPFDGMN-UHFFFAOYSA-N","CHEMBL1613","MGAM","nutrient_sensing","inhibits","E4","ITP male lifespan","PMID:24978089;PMID:31713919","Replicated lifespan extension in male mice with postprandial glucose blunting (NIA ITP)"
"Acarbose","YAFICATVPFDGMN-UHFFFAOYSA-N","CHEMBL1613","MGAM","dysbiosis","modulates","E3","Gut microbiome in aged mice","PMID:31713919","Increases cecal short-chain fatty acids (acetate, propionate) and remodeling of gut microbiota in mice"
"Acarbose","YAFICATVPFDGMN-UHFFFAOYSA-N","CHEMBL1613","MGAM","chronic_inflammation","inhibits","E3","Murine hypothalamic inflammation","PMID:33682977","Decreases inflammatory cytokines and microglial activation in male mouse brains"
"Urolithin A","SVONLZZVEWEXSP-UHFFFAOYSA-N","CHEMBL4126937","PINK1","mitochondrial_dysfunction","activates","E3","Mitophagy & muscle endurance","PMID:27400265","Induces mitophagy and prolongs normal muscle function and lifespan in C. elegans and rodents"
"Urolithin A","SVONLZZVEWEXSP-UHFFFAOYSA-N","CHEMBL4126937","PINK1","autophagy","induces","E3","Mitophagic flux in vivo","PMID:27400265","Stimulates mitochondrial clearance in skeletal muscle of aged mice"
"Urolithin A","SVONLZZVEWEXSP-UHFFFAOYSA-N","CHEMBL4126937","PINK1","mitochondrial_dysfunction","modulates","E2","Human biomarker pilot trial","PMID:31190014","Demonstrates safety and transcriptional upregulation of mitochondrial genes in human muscle biopsies"
"Berberine","YBHILYKTIRIDON-UHFFFAOYSA-N","CHEMBL376","PRKAA1","nutrient_sensing","activates","E3","Metabolic parameters in mice","PMID:15545992","Improves insulin sensitivity and reduces weight gain in db/db diabetic mice"
"Berberine","YBHILYKTIRIDON-UHFFFAOYSA-N","CHEMBL376","PRKAA1","mitochondrial_dysfunction","mitigates","E2","In vitro cell model","PMID:22086884","Increases AMP/ATP ratio and activates AMPK in cultured muscle cells"
"Berberine","YBHILYKTIRIDON-UHFFFAOYSA-N","CHEMBL376","PRKAA1","autophagy","induces","E2","In vitro hepatic cells","PMID:25732152","Promotes SIRT1-mediated autophagy in palmitate-induced steatotic hepatocytes"
"Curcumin","WQZGKKKJIJFFOK-VFUOTHLCSA-N","CHEMBL4203","NFKB1","chronic_inflammation","inhibits","E2","In vitro SASP & NF-kB","PMID:19149749","Inhibits IkB kinase (IKK) and downstream NF-kB p65 nuclear translocation in vitro"
"Curcumin","WQZGKKKJIJFFOK-VFUOTHLCSA-N","CHEMBL4203","NFKB1","cellular_senescence","inhibits","E2","In vitro senescent cells","PMID:28599427","Reduces SASP secretion in irradiated fibroblasts; modest selectivity over normal cells"
"Curcumin","WQZGKKKJIJFFOK-VFUOTHLCSA-N","CHEMBL4203","NFKB1","ecm_fibrosis","inhibits","E2","Hepatic stellate cells","PMID:16551579","Suppresses alpha-SMA and collagen gene expression in cultured fibrotic hepatic stellate cells"
"Trametinib","LAVANAYLNYCWBK-UHFFFAOYSA-N","CHEMBL2103833","MAP2K1","nutrient_sensing","inhibits","E3","Drosophila & mouse longevity","PMID:26113653","Low-dose MEK inhibition extends lifespan in female Drosophila and improves metabolic health in mice"
"Trametinib","LAVANAYLNYCWBK-UHFFFAOYSA-N","CHEMBL2103833","MAP2K1","cellular_senescence","inhibits","E2","In vitro RAS senescence bypass","PMID:29352236","Blocks oncogene-induced senescence SASP secretion downstream of hyperactive MAPK signaling"
"Canagliflozin","LNWVOZCKMSHONW-UHFFFAOYSA-N","CHEMBL2029969","SLC5A2","nutrient_sensing","inhibits","E4","ITP male lifespan","PMID:33682977","Replicated median (14%) and maximum lifespan extension in male mice (NIA ITP)"
"Canagliflozin","LNWVOZCKMSHONW-UHFFFAOYSA-N","CHEMBL2029969","SLC5A2","chronic_inflammation","inhibits","E3","Murine hypothalamic inflammasome","PMID:33682977","Reduces inflammatory cytokines and microgliosis in hypothalamus and hippocampus of aged male mice"
"BPC-157","QTHBEELLUUDWLR-UHFFFAOYSA-N","","VEGFA","ecm_fibrosis","modulates","E1","Single rodent tendon assay","PMID:21030672","Accelerates healing in transected rat Achilles tendon; no verified longevity or mammalian lifespan data"
"BPC-157","QTHBEELLUUDWLR-UHFFFAOYSA-N","","VEGFA","intercellular_communication","claimed_for_hallmark","E0","Gray-market anti-aging copy","None","Promoted as universal tissue regenerator in non-peer-reviewed gray-market wellness communities"
"Epitalon","ZNDYFFXQCSDIPU-UHFFFAOYSA-N","","TERT","telomere_attrition","claimed_for_hallmark","E1","Single rodent/ex-vivo paper","PMID:14501183","Claimed telomerase elongation in cultured human fibroblast line; lacks reproducible ITP verification"
"Epitalon","ZNDYFFXQCSDIPU-UHFFFAOYSA-N","","TERT","telomere_attrition","claimed_for_hallmark","E0","Vendor anti-aging copy","None","Widely sold on gray-market peptide sites as biological age reverser without peer-reviewed human trial proof"
"FakeGeroCompoundX99","None","","","nutrient_sensing","claimed_for_hallmark","E0","Negative control vendor claim","None","Synthetic negative control; vendor claim with zero biological or assay backing"
